gene_ID	Description/PFAM
Ga0573226_01_70370_71590	Glt_symporter
Ga0573226_01_71672_73612	DUF2207
Ga0573226_01_73627_74181	LemA
Ga0573226_01_74338_75306	tRNAsynt_2e
Ga0573226_01_75838_77229	MatE
Ga0573226_01_77279_77464	
Ga0573226_01_77511_78368	Peptidase_S49
Ga0573226_01_78560_79165	PilZ
Ga0573226_01_79314_79916	PilZ
Ga0573226_01_80193_81092	UDG
Ga0573226_01_81500_83176	GO:0003824
Ga0573226_01_84208_85362	HTH_24
Ga0573226_01_85657_86535	SBP_bac_3
Ga0573226_01_87049_88836	CHASE3
Ga0573226_01_89922_91238	DEAD
Ga0573226_01_91578_92699	GO:0003824
Ga0573226_01_92783_93109	CM_2
Ga0573226_01_93189_95483	GO:0003824
Ga0573226_01_95585_96229	Ceramidase
Ga0573226_01_96269_97495	Aminotran_1_2
Ga0573226_01_97683_98240	GO:0005488
Ga0573226_01_98246_98746	Acetyltransf_1
Ga0573226_01_98757_99452	Glycos_transf_2
Ga0573226_01_99926_100726	SBP_bac_3
Ga0573226_01_100844_101983	Radical_SAM
Ga0573226_01_102028_102684	GO:0003824
Ga0573226_01_102745_103266	Acetyltransf_1
Ga0573226_01_103340_103819	ATPsynt_B
Ga0573226_01_103830_104381	ATPsynt_B
Ga0573226_01_104465_104689	ATPsynt_C
Ga0573226_01_104763_105512	ATPsynt_A
Ga0573226_01_105567_105953	ATPase_gene1
Ga0573226_01_106176_109634	SMC_N
Ga0573226_01_109716_110351	Thioredoxin_4
Ga0573226_01_110624_111133	DUF721
Ga0573226_01_111358_112431	GO:0003824
Ga0573226_01_112521_113069	2OGFeII_Oxy_3
Ga0573226_01_113294_113773	Fasciclin
Ga0573226_01_114054_114539	Ferritin
Ga0573226_01_114596_116107	GO:0003824
Ga0573226_01_116304_117104	SBP_bac_3
Ga0573226_01_117222_118028	BPD_transp_1
Ga0573226_01_118110_118796	Adenine_glyco
Ga0573226_01_118928_120067	N6_N4_Mtase
Ga0573226_01_120204_122012	CHASE4
Ga0573226_01_122044_122595	HNOB
Ga0573226_01_122965_123909	GAF
Ga0573226_01_124309_125829	Aldedh
Ga0573226_01_126280_127449	DDE_Tnp_1
Ga0573226_01_128026_128742	Abhydrolase_6
Ga0573226_01_128761_129141	HxlR
Ga0573226_01_129617_130231	GST_C
Ga0573226_01_130228_130614	Lumazine_bd_2
Ga0573226_01_130616_130834	Tautomerase
Ga0573226_01_130921_131832	HTH_1
Ga0573226_01_131946_133235	M20_dimer
Ga0573226_01_133232_134050	BPD_transp_1
Ga0573226_01_134121_135119	NMT1
Ga0573226_01_135124_136506	Amidase
Ga0573226_01_136730_137326	DUF4166
Ga0573226_01_137332_138609	S4
Ga0573226_01_139119_139703	Hemerythrin
Ga0573226_01_139781_140242	MarR_2
Ga0573226_01_140337_141044	GST_C
Ga0573226_01_141078_141722	Isochorismatase
Ga0573226_01_141770_142237	MarR_2
Ga0573226_01_142395_143210	Methyltransf_11
Ga0573226_01_143280_144872	Aminotran_5
Ga0573226_01_144869_146215	GDCP
Ga0573226_01_146469_146954	OsmC
Ga0573226_01_146958_147329	GCV_H
Ga0573226_01_147357_148508	GO:0003674
Ga0573226_01_148970_149554	
Ga0573226_01_149762_150760	LYTB
Ga0573226_01_150765_151730	APH
Ga0573226_01_151727_152179	RNase_H
Ga0573226_01_152242_153141	DAGK_cat
Ga0573226_01_153862_156774	7TMRDISMED2
Ga0573226_01_156806_157444	Acetyltransf_3
Ga0573226_01_157494_158783	Peptidase_M16
Ga0573226_01_158788_160260	GO:0003824
Ga0573226_01_160399_160995	DUF179
Ga0573226_01_161180_162001	DsbC
Ga0573226_01_162126_162614	Redoxin
Ga0573226_01_162704_163459	SURF1
Ga0573226_01_163486_163887	DUF983
Ga0573226_01_163971_164843	GO:0005623
Ga0573226_01_164895_165500	CtaG_Cox11
Ga0573226_01_165512_165673	
Ga0573226_01_165673_166614	GO:0003824
Ga0573226_01_166763_168358	GO:0005623
Ga0573226_01_168437_169363	COX2
Ga0573226_01_169870_170430	IalB
Ga0573226_01_170505_172295	Na_H_Exchanger
Ga0573226_01_172546_173160	HAD_2
Ga0573226_01_173183_174607	GO:0005622
Ga0573226_01_175003_175218	DUF2093
Ga0573226_01_175226_176248	LpxK
Ga0573226_01_176232_177593	Glycos_transf_N
Ga0573226_01_177544_178242	DUF374
Ga0573226_01_178271_178510	DUF4170
Ga0573226_01_178648_179466	Inositol_P
Ga0573226_01_179453_180796	GO:0005622
Ga0573226_01_181297_181830	
Ga0573226_01_181885_182826	UbiA
Ga0573226_01_183019_183792	
Ga0573226_01_183970_185247	GARS_A
Ga0573226_01_185627_186532	Abhydrolase_1
Ga0573226_01_186860_189985	EAL
Ga0573226_01_190413_191264	Patatin
Ga0573226_01_191381_191713	
Ga0573226_01_191931_192794	Lactamase_B_3
Ga0573226_01_192829_193386	Cons_hypoth95
Ga0573226_01_193383_194783	PseudoU_synth_2
Ga0573226_01_194909_195421	MafB19deam
Ga0573226_01_195546_196748	Porin_2
Ga0573226_01_196809_197681	Abhydrolase_1
Ga0573226_01_197746_199659	GO:0003676
Ga0573226_01_199780_200655	Hydrolase_6
Ga0573226_01_200846_201538	CheZ
Ga0573226_01_201706_202089	Response_reg
Ga0573226_01_202341_202787	GO:0003824
Ga0573226_01_203027_204025	FAD_syn
Ga0573226_01_204049_204963	EamA
Ga0573226_01_204939_206222	GT87
Ga0573226_01_206605_209565	Anticodon_1
Ga0573226_01_209588_210124	Peptidase_A8
Ga0573226_01_211271_212743	Peptidase_M16
Ga0573226_01_212745_214070	Peptidase_M16
Ga0573226_01_214107_215660	EAL
Ga0573226_01_216017_216859	
Ga0573226_01_217232_218719	HTH_8
Ga0573226_01_218998_219498	
Ga0573226_01_219768_220055	Cpn10
Ga0573226_01_220110_221753	Cpn60_TCP1
Ga0573226_01_222796_223191	
Ga0573226_01_223498_224436	BPD_transp_1
Ga0573226_01_224437_225303	BPD_transp_1
Ga0573226_01_225309_226850	SBP_bac_5
Ga0573226_01_226911_227516	
Ga0573226_01_227519_228124	
Ga0573226_01_228244_230043	DUF393
Ga0573226_01_230056_230760	GO:0003824
Ga0573226_01_230936_231148	SlyX
Ga0573226_01_231243_232256	HlyD_3
Ga0573226_01_232253_233491	FtsX
Ga0573226_01_233488_234201	ABC_tran
Ga0573226_01_234183_234914	DUF1275
Ga0573226_01_235160_235462	
Ga0573226_01_235672_236058	GO:0003824
Ga0573226_01_236261_236482	
Ga0573226_01_236473_236976	Bac_globin
Ga0573226_01_237073_237501	Rrf2
Ga0573226_01_237771_238925	DDE_Tnp_1
Ga0573226_01_238991_239734	HTH_Crp_2
Ga0573226_01_239863_240660	GtrA
Ga0573226_01_240769_242262	PMT_2
Ga0573226_01_242272_243432	Glycos_transf_2
Ga0573226_01_244251_245768	HGTP_anticodon
Ga0573226_01_245772_246923	tRNAsynt_His
Ga0573226_01_246920_247888	GO:0003674
Ga0573226_01_248109_248783	Adenine_glyco
Ga0573226_01_248951_249703	CheZ
Ga0573226_01_249961_250686	DUF2927
Ga0573226_01_250945_251712	YkuD
Ga0573226_01_251902_253257	FliO
Ga0573226_01_253279_254616	GO:0003824
Ga0573226_01_254897_255256	
Ga0573226_01_255303_256493	FADoxidase_C
Ga0573226_01_256503_257999	FADoxidase_C
Ga0573226_01_258155_259099	HTH_1
Ga0573226_01_259237_259632	GO:0005623
Ga0573226_01_259711_261009	DUF3422
Ga0573226_01_261205_261981	FCD
Ga0573226_01_262000_263136	FMN_dh
Ga0573226_01_263102_263926	HTH_18
Ga0573226_01_264053_265030	PALP
Ga0573226_01_265298_265996	GATase
Ga0573226_01_266152_267069	EamA
Ga0573226_01_267125_268015	HTH_1
Ga0573226_01_268181_269056	HTH_1
Ga0573226_01_269322_269633	DUF1127
Ga0573226_01_269769_270536	DUF937
Ga0573226_01_270688_272061	GCS2
Ga0573226_01_272292_274043	CHASE2
Ga0573226_01_274048_274806	Methyltrans_RNA
Ga0573226_01_275013_276578	Exonuc_VII_L
Ga0573226_01_276745_277338	DUF805
Ga0573226_01_277466_278836	DctM
Ga0573226_01_278833_279477	DctQ
Ga0573226_01_279563_280579	DctP
Ga0573226_01_280833_282230	HTH_8
Ga0573226_01_282227_284092	HATPase_c
Ga0573226_01_284158_284991	Usp
Ga0573226_01_285109_287838	ATPgrasp_5
Ga0573226_01_287952_289616	TPP_enzyme_C
Ga0573226_01_289995_290375	
Ga0573226_01_290502_292049	AAA_33
Ga0573226_01_292044_292364	AzlD
Ga0573226_01_292373_293074	AzlC
Ga0573226_01_293212_294039	TauE
Ga0573226_01_294219_294785	DUF3291
Ga0573226_01_294915_295619	Pirin
Ga0573226_01_295837_296130	Acetyltransf_CG
Ga0573226_01_296157_296645	
Ga0573226_01_297020_297535	Phasin_2
Ga0573226_01_297898_298284	Phasin_2
Ga0573226_01_298545_303005	HATPase_c
Ga0573226_01_303005_303709	DUF4336
Ga0573226_01_303980_305020	SBP_bac_6
Ga0573226_01_305137_306822	BPD_transp_1
Ga0573226_01_306925_308751	AAA
Ga0573226_01_308891_309520	CoA_trans
Ga0573226_01_309534_310229	CoA_trans
Ga0573226_01_310531_310776	
Ga0573226_01_310817_311989	Acetyltransf_6
Ga0573226_01_311986_313140	Acetyltransf_6
Ga0573226_01_313279_314103	GO:0005623
Ga0573226_01_314100_315029	GO:0005623
Ga0573226_01_315038_316156	GO:0005623
Ga0573226_01_316270_317364	GO:0005488
Ga0573226_01_317517_318905	GO:0003824
Ga0573226_01_319075_319779	FCD
Ga0573226_01_319900_321306	Glnsynt_C
Ga0573226_01_321339_322733	Aminotran_3
Ga0573226_01_322924_323907	Rubrerythrin
Ga0573226_01_324051_324443	YCII
Ga0573226_01_324412_325668	Sigma70_r2
Ga0573226_01_325787_326167	Glyoxalase
Ga0573226_01_326234_326632	MAPEG
Ga0573226_01_327483_329720	HAMP
Ga0573226_01_329717_331258	DUF3369
Ga0573226_01_331303_331836	DUF934
Ga0573226_01_331871_332632	PAPS_reduct
Ga0573226_01_332619_334277	NIR_SIR
Ga0573226_01_334350_334649	DUF2849
Ga0573226_01_334670_336133	CysG_dimeriser
Ga0573226_01_337010_338116	
Ga0573226_01_340107_341273	Thiolase_C
Ga0573226_01_341833_343503	Alphaamylase
Ga0573226_01_343866_344654	Glycos_transf_2
Ga0573226_01_345079_346272	HD_5
Ga0573226_01_346435_347649	HI0933_like
Ga0573226_01_347651_348112	DUF188
Ga0573226_01_348220_348561	BA14K
Ga0573226_01_348685_349398	
Ga0573226_01_349746_349958	CSD
Ga0573226_01_350189_351232	GO:0003674
Ga0573226_01_351229_352071	GO:0005215
Ga0573226_01_352154_353098	OpuAC
Ga0573226_01_353327_353929	TetR_C_6
Ga0573226_01_353948_355606	GMC_oxred_C
Ga0573226_01_355655_357118	Aldedh
Ga0573226_01_357370_358653	Guanylate_cyc
Ga0573226_01_358814_359158	hemP
Ga0573226_01_359853_360317	Rrf2
Ga0573226_01_360420_362033	Glyco_hydro_43
Ga0573226_01_362074_363138	LacI
Ga0573226_01_363237_364415	GO:0005622
Ga0573226_01_364609_365814	Peripla_BP_6
Ga0573226_01_365909_366871	BPD_transp_2
Ga0573226_01_366886_367758	BPD_transp_2
Ga0573226_01_367764_368471	ABC_tran
Ga0573226_01_368468_369238	ABC_tran
Ga0573226_01_369834_371912	EAL
Ga0573226_01_371905_373125	Aminotran_5
Ga0573226_01_373258_374769	SDH_alpha
Ga0573226_01_375179_376888	AspAl_Ex
Ga0573226_01_376906_378501	Aminotran_1_2
Ga0573226_01_378511_379128	FCD
Ga0573226_01_381182_382267	AnmK
Ga0573226_01_382264_383616	Aminotran_3
Ga0573226_01_383971_385839	
Ga0573226_01_385878_386843	
Ga0573226_01_386860_388398	Peptidase_S8
Ga0573226_01_389013_389222	CSD
Ga0573226_01_389598_390659	FA_desaturase
Ga0573226_01_390796_391098	
Ga0573226_01_391922_392971	HTH_32
Ga0573226_01_393567_395126	Fic
Ga0573226_01_395927_396472	DDE_Tnp_IS240
Ga0573226_01_396655_397749	SBP_bac_8
Ga0573226_01_397733_399103	2CSK_N
Ga0573226_01_399147_399818	Response_reg
Ga0573226_01_400042_401016	TctC
Ga0573226_01_401091_401531	TctB
Ga0573226_01_401539_403086	TctA
Ga0573226_01_403555_404346	HTH_IclR
Ga0573226_01_404481_405992	SBP_bac_5
Ga0573226_01_406065_406982	BPD_transp_1
Ga0573226_01_406984_407883	BPD_transp_1
Ga0573226_01_407880_408866	ABC_tran
Ga0573226_01_408866_409882	ABC_tran
Ga0573226_01_409879_411456	G_glu_transpept
Ga0573226_01_411458_412843	M20_dimer
Ga0573226_01_412875_414113	DAO
Ga0573226_01_414110_415588	Amidase
Ga0573226_01_416273_417328	HTH_32
Ga0573226_01_417691_419163	HATPase_c
Ga0573226_01_419227_420657	Pyr_redox_2
Ga0573226_01_420688_421500	SNARE_assoc
Ga0573226_01_422030_422431	Ribonuclease_P
Ga0573226_01_422438_424258	GO:0003674
Ga0573226_01_424315_425250	
Ga0573226_01_425579_426256	Hexapep
Ga0573226_01_426266_426913	MMR_HSR1
Ga0573226_01_427010_427897	GO:0003824
Ga0573226_01_427894_428637	HAD_2
Ga0573226_01_428894_429757	HTH_1
Ga0573226_01_430145_430525	
Ga0573226_01_430583_432076	DUF1731
Ga0573226_01_432069_432728	DUF4166
Ga0573226_01_432827_433483	HTH_5
Ga0573226_01_433674_434441	DDE_Tnp_1
Ga0573226_01_434965_435318	Cupin_3
Ga0573226_01_435353_438028	CHASE
Ga0573226_01_438174_439094	EamA
Ga0573226_01_439331_440182	Hexapep
Ga0573226_01_440241_440834	
Ga0573226_01_440831_442003	M20_dimer
Ga0573226_01_442049_442474	DUF805
Ga0573226_01_442700_444934	MS_channel
Ga0573226_01_445096_445926	DUF2189
Ga0573226_01_446094_446930	Methyltransf_21
Ga0573226_01_446955_447776	GO:0003674
Ga0573226_01_447776_448312	Acetyltransf_1
Ga0573226_01_448335_449273	GO:0003824
Ga0573226_01_449510_450142	MarC
Ga0573226_01_450180_450698	GO:0003824
Ga0573226_01_450788_452008	RmuC
Ga0573226_01_452120_452986	NLPC_P60
Ga0573226_01_453015_453365	MarR
Ga0573226_01_453426_454820	Peptidase_M17
Ga0573226_01_455039_455812	TPR_10
Ga0573226_01_456320_456928	LysE
Ga0573226_01_457019_457918	HTH_1
Ga0573226_01_459628_460527	HTH_1
Ga0573226_01_460709_461719	2Hacid_dh
Ga0573226_01_461722_462396	RraAlike
Ga0573226_01_462430_463383	TctC
Ga0573226_01_463444_463905	TctB
Ga0573226_01_463911_465419	TctA
Ga0573226_01_466296_466955	GerE
Ga0573226_01_466955_468280	HAMP
Ga0573226_01_468368_469318	AAA_3
Ga0573226_01_469312_470151	DUF58
Ga0573226_01_470138_470479	
Ga0573226_01_470476_471417	VWA
Ga0573226_01_471414_472301	VWA_2
Ga0573226_01_472298_472912	
Ga0573226_01_472906_474102	BatD
Ga0573226_01_474147_475130	T2SSF
Ga0573226_01_475143_476162	T2SSF
Ga0573226_01_476181_477671	T2SSE
Ga0573226_01_477702_479009	AAA_31
Ga0573226_01_479018_479734	Pilus_CpaD
Ga0573226_01_479745_481151	BON
Ga0573226_01_481190_481957	RcpC
Ga0573226_01_482311_482826	Peptidase_A24
Ga0573226_01_482982_483164	Flp_Fap
Ga0573226_01_483684_484154	T2SST3SS_pil_N
Ga0573226_01_484185_484736	TadE
Ga0573226_01_484720_485331	TadE
Ga0573226_01_485482_486894	MaoC_dehydratas
Ga0573226_01_486897_488081	Acetate_kinase
Ga0573226_01_488092_489063	Phosphonatebd
Ga0573226_01_489113_489730	HAD_2
Ga0573226_01_489785_490813	Hist_deacetyl
Ga0573226_01_490881_491879	GO:0003824
Ga0573226_01_491970_493469	PGM_PMM_I
Ga0573226_01_493533_494027	gagasp_proteas
Ga0573226_01_494106_495005	PfkB
Ga0573226_01_495289_495918	GO:0003824
Ga0573226_01_495984_497225	DUF1688
Ga0573226_01_497352_498608	MFS_1
Ga0573226_01_498781_499785	A_deaminase
Ga0573226_01_499842_501062	Metalloenzyme
Ga0573226_01_501146_502462	Glycos_trans_3N
Ga0573226_01_502486_503268	DeoC
Ga0573226_01_503265_504074	PNP_UDP_1
Ga0573226_01_504081_504479	dCMP_cyt_deam_1
Ga0573226_01_504476_505444	BPD_transp_2
Ga0573226_01_505447_506553	BPD_transp_2
Ga0573226_01_506550_508100	ABC_tran
Ga0573226_01_508179_509174	Bmp
Ga0573226_01_509253_510254	Bmp
Ga0573226_01_510322_511305	Sugarbind
Ga0573226_01_512106_512960	DUF1194
Ga0573226_01_513441_513872	MGS
Ga0573226_01_513869_514897	Glucokinase
Ga0573226_01_514905_517376	DEAD
Ga0573226_01_517703_520843	Aldedh
Ga0573226_01_520987_521442	AsnC_trans_reg
Ga0573226_01_521447_521839	DUF1232
Ga0573226_01_521954_523183	SBP_bac_8
Ga0573226_01_523251_524903	BPD_transp_1
Ga0573226_01_524900_525577	ABC_tran
Ga0573226_01_525615_526100	Ferritin
Ga0573226_01_526116_526358	Fer2_BFD
Ga0573226_01_526483_527241	adh_short_C2
Ga0573226_01_527668_530133	HAMP
Ga0573226_01_530278_531231	Cons_hypoth95
Ga0573226_01_531787_534948	ACR_tran
Ga0573226_01_534952_536142	Biotin_lipoyl_2
Ga0573226_01_536294_536923	TetR_N
Ga0573226_01_536999_537826	SpoU_methylase
Ga0573226_01_537830_538687	Epimerase
Ga0573226_01_538743_539378	GO:0003824
Ga0573226_01_539618_540076	Nuc_deoxyri_tr3
Ga0573226_01_540300_540548	CSD
Ga0573226_01_540625_541926	Methyltransf_11
Ga0573226_01_542053_543654	B12binding
Ga0573226_01_543715_544974	MFS_1
Ga0573226_01_544976_545680	Abhydrolase_2
Ga0573226_01_545759_546367	
Ga0573226_01_546798_547841	Peptidase_M42
Ga0573226_01_548097_549182	Patatin
Ga0573226_01_549267_550364	Peptidase_M74
Ga0573226_01_550439_551080	TetR_N
Ga0573226_01_551339_552295	Smethyl_trans
Ga0573226_01_552372_552896	GO:0003824
Ga0573226_01_553133_554938	EFG_C
Ga0573226_01_555228_555812	PhnA
Ga0573226_01_555824_556423	adh_short
Ga0573226_01_556420_556782	MerR
Ga0573226_01_556846_557685	HTH_1
Ga0573226_01_557951_558355	Tautomerase_2
Ga0573226_01_558431_558655	CcdA
Ga0573226_01_558655_558954	CcdB
Ga0573226_01_559089_559226	
Ga0573226_01_559361_560278	HTH_1
Ga0573226_01_560801_561883	GO:0003824
Ga0573226_01_561908_562561	
Ga0573226_01_562624_565041	GO:0005622
Ga0573226_01_565143_565415	
Ga0573226_01_565688_566023	
Ga0573226_01_566060_566374	
Ga0573226_01_566559_567206	NTP_transf_6
Ga0573226_01_568999_570837	Aminotran_4
Ga0573226_01_571063_572550	MCPsignal
Ga0573226_01_572543_572872	
Ga0573226_01_573071_573736	PMSR
Ga0573226_01_573916_574242	
Ga0573226_01_574708_575886	HTH_28
Ga0573226_01_576250_576906	DLH
Ga0573226_01_577982_579922	DctM
Ga0573226_01_579919_580809	Amidohydro_2
Ga0573226_01_580806_581885	PrpF
Ga0573226_01_582013_582747	PIGL
Ga0573226_01_582978_583370	DctP
Ga0573226_01_583504_584727	HTH_1
Ga0573226_01_584989_585948	Glyoxalase
Ga0573226_01_585950_586621	RraAlike
Ga0573226_01_587204_587992	ABC2_membrane
Ga0573226_01_587989_588648	ABC_tran
Ga0573226_01_588679_589968	
Ga0573226_01_592918_594219	DUF2172
Ga0573226_01_594247_595314	NeuB
Ga0573226_01_595344_596006	Formyl_trans_N
Ga0573226_01_595999_597042	Acetyltransf_3
Ga0573226_01_597072_597863	CTP_transf_3
Ga0573226_01_597860_599077	DegT_DnrJ_EryC1
Ga0573226_01_599122_600165	Polysacc_synt_2
Ga0573226_01_600229_601017	Antibiotic_NAT
Ga0573226_01_601014_601289	
Ga0573226_01_601302_601967	Cyclase
Ga0573226_01_602782_604224	AMPbinding
Ga0573226_01_604242_605297	DmpG_comm
Ga0573226_01_605492_609574	
Ga0573226_01_610374_613052	HemolysinCabind
Ga0573226_01_613304_614596	HSP70
Ga0573226_01_614604_614918	DUF1905
Ga0573226_01_614990_615508	ACT_6
Ga0573226_01_615700_617262	HAMP
Ga0573226_01_617695_617934	
Ga0573226_01_617931_619052	CbiX
Ga0573226_01_619074_619718	CbiC
Ga0573226_01_619965_621164	PCMT
Ga0573226_01_621161_621886	TP_methylase
Ga0573226_01_621856_623781	CbiG_C
Ga0573226_01_623778_624551	TP_methylase
Ga0573226_01_624609_626189	Sulfatase
Ga0573226_01_626581_627210	Methyltransf_11
Ga0573226_01_627237_628556	AAA_26
Ga0573226_01_628546_629412	CysG_dimeriser
Ga0573226_01_629549_630640	CbiD
Ga0573226_01_630627_631385	CbiJ
Ga0573226_01_631382_632170	Glyco_tran_WecB
Ga0573226_01_632423_633574	Glyco_trans_4_4
Ga0573226_01_633696_635024	Glyco_trans_1_4
Ga0573226_01_635021_636364	Cellulase
Ga0573226_01_636499_637812	Wzy_C
Ga0573226_01_637938_640247	GNVR
Ga0573226_01_640259_642049	Abhydrolase_6
Ga0573226_01_642223_643134	Glycos_transf_2
Ga0573226_01_643145_643825	Polysacc_deac_1
Ga0573226_01_644066_645385	Polysacc_synt
Ga0573226_01_645404_646468	
Ga0573226_01_646496_648949	
Ga0573226_01_649189_650214	DUF1839
Ga0573226_01_650228_651139	
Ga0573226_01_651139_652320	AcylCoA_dh_1
Ga0573226_01_652324_652572	PPbinding
Ga0573226_01_652789_653319	Ni_hydr_CYTB
Ga0573226_01_653363_654145	Methyltransf_25
Ga0573226_01_654142_655215	Glyco_transf_4
Ga0573226_01_655223_655621	PTPS
Ga0573226_01_655659_656681	AlaDh_PNT_C
Ga0573226_01_656828_658603	Glyco_trans_2_3
Ga0573226_01_658679_659146	GO:0003824
Ga0573226_01_659207_659794	GO:0005488
Ga0573226_01_660083_661636	Sigma54_AID
Ga0573226_01_661726_662538	ABC_tran
Ga0573226_01_662621_663196	OstA
Ga0573226_01_663200_663850	LptC
Ga0573226_01_663905_664525	DNA_pol_A_exo1
Ga0573226_01_664719_665174	Cytochrom_C_2
Ga0573226_01_665661_668033	E1E2_ATPase
Ga0573226_01_668131_668841	ABC_tran
Ga0573226_01_668841_669572	ABC_tran
Ga0573226_01_669569_670495	BPD_transp_2
Ga0573226_01_670492_671355	BPD_transp_2
Ga0573226_01_671685_672878	Peripla_BP_6
Ga0573226_01_673078_673794	FCD
Ga0573226_01_673816_675264	Aldedh
Ga0573226_01_675446_676261	GO:0003824
Ga0573226_01_676520_676867	Multi_Drug_Res
Ga0573226_01_676952_678352	SLT
Ga0573226_01_681809_683515	FHA
Ga0573226_01_683528_684577	Cytochrome_C554
Ga0573226_01_684629_685903	FAD_binding_6
Ga0573226_01_685947_687467	
Ga0573226_01_687464_689809	Cytochrome_C554
Ga0573226_01_691589_691855	HTH_Tnp_1
Ga0573226_01_691888_692691	HTH_21
Ga0573226_01_692856_694055	ArmDNAbind_3
Ga0573226_01_694372_695502	3Beta_HSD
Ga0573226_01_695976_697235	MFS_1
Ga0573226_01_698259_699287	HTH_11
Ga0573226_01_699511_700317	BacA
Ga0573226_01_700536_701228	GST_C
Ga0573226_01_701285_702427	GO:0003824
Ga0573226_01_702474_704717	
Ga0573226_01_705041_707809	Fer2_4
Ga0573226_01_707806_709482	2Fe2S_thioredx
Ga0573226_01_709701_710231	NUDIX
Ga0573226_01_710259_711404	Polysacc_deac_2
Ga0573226_01_711519_712847	PDZ_2
Ga0573226_01_712844_714154	Peptidase_M23
Ga0573226_01_714507_715004	Acetyltransf_3
Ga0573226_01_715035_715517	SPOUT_MTase
Ga0573226_01_715599_715982	RsfS
Ga0573226_01_716213_716848	CTP_transf_like
Ga0573226_01_716859_718139	GO:0003824
Ga0573226_01_718194_719327	GO:0003824
Ga0573226_01_719327_720373	GTP1_OBG
Ga0573226_01_720421_720966	Acetyltransf_3
Ga0573226_01_720963_721526	Acetyltransf_3
Ga0573226_01_721529_722134	Acetyltransf_3
Ga0573226_01_722274_722543	GO:0003735
Ga0573226_01_722600_723208	GO:0003735
Ga0573226_01_725047_726165	Phage_int_SAM_1
Ga0573226_01_727347_728045	ABC_tran
Ga0573226_01_728045_728767	ABC_tran
Ga0573226_01_728764_729741	BPD_transp_2
Ga0573226_01_729741_730694	BPD_transp_2
Ga0573226_01_730761_732011	Peripla_BP_6
Ga0573226_01_732121_733731	GMC_oxred_C
Ga0573226_01_733745_735151	Aldedh
Ga0573226_01_735290_736246	AraC_binding_2
Ga0573226_01_736654_737604	TctC
Ga0573226_01_737601_738026	TctB
Ga0573226_01_738037_739575	TctA
Ga0573226_01_740293_740964	CMD
Ga0573226_01_740927_741571	Flavin_Reduct
Ga0573226_01_741564_742385	Abhydrolase_6
Ga0573226_01_742385_743575	CoA_transf_3
Ga0573226_01_743666_744433	ECH_1
Ga0573226_01_744460_745212	GntR
Ga0573226_01_745308_745979	GST_C_2
Ga0573226_01_746328_747536	Thiolase_C
Ga0573226_01_747542_747940	YkuD
Ga0573226_01_748179_748811	Phage_integrase
Ga0573226_01_748943_749755	HTH_6
Ga0573226_01_749936_751225	Peripla_BP_6
Ga0573226_01_751222_752241	BPD_transp_2
