gene_ID	GOs				
Ga0573226_01_109716_110351					
Ga0573226_01_110624_111133					
Ga0573226_01_111358_112431	GO:0003674;GO:0003824;GO:0006139;GO:0006259;GO:0006281;GO:0006284;GO:0006725;GO:0006807;GO:0006950;GO:0006974;GO:0008150;GO:0008152;GO:0009987;GO:0016787;GO:0033554;GO:0034641;GO:0043170;GO:0044237;GO:0044238;GO:0044260;GO:0046483;GO:0050896;GO:0051716;GO:0071704;GO:0090304;GO:1901360				
Ga0573226_01_112521_113069					
Ga0573226_01_113294_113773					
Ga0573226_01_114054_114539					
Ga0573226_01_114596_116107	GO:0003674;GO:0003824;GO:0005575;GO:0005622;GO:0005623;GO:0005737;GO:0005829;GO:0008714;GO:0016787;GO:0016798;GO:0016799;GO:0044424;GO:0044444;GO:0044464				
Ga0573226_01_116304_117104					
Ga0573226_01_117222_118028					
Ga0573226_01_118110_118796					
Ga0573226_01_118928_120067					
Ga0573226_01_120204_122012					
Ga0573226_01_122044_122595					
Ga0573226_01_122965_123909					
Ga0573226_01_124309_125829					
Ga0573226_01_126280_127449					
Ga0573226_01_128026_128742					
Ga0573226_01_128761_129141					
Ga0573226_01_129617_130231					
Ga0573226_01_130228_130614					
Ga0573226_01_130616_130834					
Ga0573226_01_130921_131832					
Ga0573226_01_131946_133235					
Ga0573226_01_133232_134050					
Ga0573226_01_134121_135119					
Ga0573226_01_135124_136506					
Ga0573226_01_136730_137326					
Ga0573226_01_137332_138609					
Ga0573226_01_139119_139703					
Ga0573226_01_139781_140242					
Ga0573226_01_140337_141044					
Ga0573226_01_141078_141722					
Ga0573226_01_141770_142237					
Ga0573226_01_142395_143210					
Ga0573226_01_143280_144872					
Ga0573226_01_144869_146215					
Ga0573226_01_146469_146954					
Ga0573226_01_146958_147329					
Ga0573226_01_147357_148508	GO:0001505;GO:0003674;GO:0003824;GO:0004047;GO:0005575;GO:0005622;GO:0005623;GO:0005737;GO:0005960;GO:0006082;GO:0006520;GO:0006544;GO:0006546;GO:0006807;GO:0008150;GO:0008152;GO:0008168;GO:0008483;GO:0009056;GO:0009063;GO:0009069;GO:0009071;GO:0009987;GO:0016054;GO:0016740;GO:0016741;GO:0016769;GO:0017144;GO:0019464;GO:0019752;GO:0032259;GO:0032991;GO:0042133;GO:0042135;GO:0042737;GO:0043436;GO:0044237;GO:0044238;GO:0044248;GO:0044281;GO:0044282;GO:0044424;GO:0044444;GO:0044464;GO:0046395;GO:0065007;GO:0065008;GO:0071704;GO:1901564;GO:1901565;GO:1901575;GO:1901605;GO:1901606;GO:1902494;GO:1990204				
Ga0573226_01_148970_149554					
Ga0573226_01_149762_150760					
Ga0573226_01_150765_151730					
Ga0573226_01_151727_152179					
Ga0573226_01_152242_153141					
Ga0573226_01_153862_156774					
Ga0573226_01_156806_157444					
Ga0573226_01_157494_158783					
Ga0573226_01_158788_160260	GO:0003674;GO:0003824;GO:0004795;GO:0006082;GO:0006520;GO:0006566;GO:0006793;GO:0006796;GO:0006807;GO:0008150;GO:0008152;GO:0008652;GO:0009058;GO:0009066;GO:0009067;GO:0009088;GO:0009987;GO:0016053;GO:0016311;GO:0016829;GO:0016835;GO:0016838;GO:0019752;GO:0043436;GO:0044237;GO:0044238;GO:0044249;GO:0044281;GO:0044283;GO:0046394;GO:0071704;GO:1901564;GO:1901566;GO:1901576;GO:1901605;GO:1901607				
Ga0573226_01_160399_160995					
Ga0573226_01_161180_162001					
Ga0573226_01_162126_162614					
Ga0573226_01_162704_163459					
Ga0573226_01_163486_163887					
Ga0573226_01_163971_164843	GO:0005575;GO:0005623;GO:0005886;GO:0016020;GO:0044464;GO:0071944				
Ga0573226_01_164895_165500					
Ga0573226_01_165512_165673					
Ga0573226_01_165673_166614	GO:0003674;GO:0003824;GO:0004311;GO:0004659;GO:0005575;GO:0005623;GO:0005886;GO:0006091;GO:0006725;GO:0006778;GO:0006779;GO:0006783;GO:0006807;GO:0008150;GO:0008152;GO:0009058;GO:0009987;GO:0015980;GO:0016020;GO:0016740;GO:0016765;GO:0018130;GO:0019438;GO:0033013;GO:0033014;GO:0034641;GO:0042168;GO:0042440;GO:0044237;GO:0044249;GO:0044271;GO:0044464;GO:0045333;GO:0046148;GO:0046483;GO:0051186;GO:0051188;GO:0055114;GO:0071704;GO:0071944;GO:1901360;GO:1901362;GO:1901564;GO:1901566;GO:1901576				
Ga0573226_01_166763_168358	GO:0005575;GO:0005623;GO:0005886;GO:0006091;GO:0006810;GO:0006811;GO:0006812;GO:0008150;GO:0008152;GO:0009060;GO:0009987;GO:0015672;GO:0015980;GO:0015988;GO:0015990;GO:0016020;GO:0022900;GO:0022904;GO:0034220;GO:0044237;GO:0044464;GO:0045333;GO:0051179;GO:0051234;GO:0055085;GO:0055114;GO:0071944;GO:0098655;GO:0098660;GO:0098662;GO:1902600				
Ga0573226_01_168437_169363					
Ga0573226_01_169870_170430					
Ga0573226_01_170505_172295					
Ga0573226_01_172546_173160					
Ga0573226_01_173183_174607	GO:0005575;GO:0005622;GO:0005623;GO:0005737;GO:0005829;GO:0044424;GO:0044444;GO:0044464				
Ga0573226_01_175003_175218					
Ga0573226_01_175226_176248					
Ga0573226_01_176232_177593					
Ga0573226_01_177544_178242					
Ga0573226_01_178271_178510					
Ga0573226_01_178648_179466					
Ga0573226_01_179453_180796	GO:0005575;GO:0005622;GO:0005623;GO:0005737;GO:0005829;GO:0006508;GO:0006807;GO:0008150;GO:0008152;GO:0019538;GO:0043170;GO:0044238;GO:0044424;GO:0044444;GO:0044464;GO:0071704;GO:1901564				
Ga0573226_01_181297_181830					
Ga0573226_01_181885_182826					
Ga0573226_01_183019_183792					
Ga0573226_01_183970_185247					
Ga0573226_01_185627_186532					
Ga0573226_01_186860_189985					
Ga0573226_01_190413_191264					
Ga0573226_01_191381_191713					
Ga0573226_01_191931_192794					
Ga0573226_01_192829_193386					
Ga0573226_01_193383_194783					
Ga0573226_01_194909_195421					
Ga0573226_01_195546_196748					
Ga0573226_01_196809_197681					
Ga0573226_01_197746_199659	GO:0003674;GO:0003676;GO:0003677;GO:0003697;GO:0003824;GO:0005488;GO:0005575;GO:0005622;GO:0005623;GO:0006139;GO:0006259;GO:0006281;GO:0006298;GO:0006725;GO:0006807;GO:0006950;GO:0006974;GO:0008150;GO:0008152;GO:0009987;GO:0016462;GO:0016787;GO:0016817;GO:0016818;GO:0016887;GO:0017111;GO:0032300;GO:0032991;GO:0033554;GO:0034641;GO:0043170;GO:0044237;GO:0044238;GO:0044260;GO:0044424;GO:0044464;GO:0046483;GO:0050896;GO:0051716;GO:0071704;GO:0090304;GO:0097159;GO:1901360;GO:1901363;GO:1990391				
Ga0573226_01_199780_200655					
Ga0573226_01_200846_201538					
Ga0573226_01_201706_202089					
Ga0573226_01_202341_202787	GO:0003674;GO:0003824;GO:0003859;GO:0006081;GO:0006082;GO:0008150;GO:0008152;GO:0009987;GO:0016829;GO:0016835;GO:0016836;GO:0019752;GO:0032787;GO:0043436;GO:0044237;GO:0044281;GO:0046487;GO:0071704				
Ga0573226_01_203027_204025					
Ga0573226_01_204049_204963					
Ga0573226_01_204939_206222					
Ga0573226_01_206605_209565					
Ga0573226_01_209588_210124					
Ga0573226_01_211271_212743					
Ga0573226_01_212745_214070					
Ga0573226_01_214107_215660					
Ga0573226_01_216017_216859					
Ga0573226_01_217232_218719					
Ga0573226_01_218998_219498					
Ga0573226_01_219768_220055					
Ga0573226_01_220110_221753					
Ga0573226_01_222796_223191					
Ga0573226_01_223498_224436					
Ga0573226_01_224437_225303					
Ga0573226_01_225309_226850					
Ga0573226_01_226911_227516					
Ga0573226_01_227519_228124					
Ga0573226_01_228244_230043					
Ga0573226_01_230056_230760	GO:0003674;GO:0003824;GO:0006950;GO:0006979;GO:0008150;GO:0008152;GO:0015036;GO:0016491;GO:0016667;GO:0050896;GO:0055114				
Ga0573226_01_230936_231148					
Ga0573226_01_231243_232256					
Ga0573226_01_232253_233491					
Ga0573226_01_233488_234201					
Ga0573226_01_234183_234914					
Ga0573226_01_235160_235462					
Ga0573226_01_235672_236058	GO:0003674;GO:0003824;GO:0005575;GO:0005622;GO:0005623;GO:0005737;GO:0005829;GO:0006082;GO:0006139;GO:0006163;GO:0006629;GO:0006631;GO:0006637;GO:0006725;GO:0006732;GO:0006753;GO:0006790;GO:0006793;GO:0006796;GO:0006807;GO:0008150;GO:0008152;GO:0009117;GO:0009150;GO:0009259;GO:0009987;GO:0016289;GO:0016787;GO:0016788;GO:0016790;GO:0019637;GO:0019693;GO:0019752;GO:0032787;GO:0033865;GO:0033875;GO:0034032;GO:0034641;GO:0035383;GO:0043436;GO:0043603;GO:0044237;GO:0044238;GO:0044255;GO:0044281;GO:0044424;GO:0044444;GO:0044464;GO:0046483;GO:0047617;GO:0051186;GO:0055086;GO:0071704;GO:0072521;GO:1901135;GO:1901360;GO:1901564				
Ga0573226_01_236261_236482					
Ga0573226_01_236473_236976					
Ga0573226_01_237073_237501					
Ga0573226_01_237771_238925					
Ga0573226_01_238991_239734					
Ga0573226_01_239863_240660					
Ga0573226_01_240769_242262					
Ga0573226_01_242272_243432					
Ga0573226_01_244251_245768					
Ga0573226_01_245772_246923					
Ga0573226_01_246920_247888	GO:0000105;GO:0003674;GO:0003824;GO:0003879;GO:0006082;GO:0006520;GO:0006547;GO:0006725;GO:0006807;GO:0008150;GO:0008152;GO:0008652;GO:0009058;GO:0009987;GO:0016053;GO:0016740;GO:0016757;GO:0016763;GO:0018130;GO:0019438;GO:0019752;GO:0034641;GO:0043436;GO:0044237;GO:0044238;GO:0044249;GO:0044281;GO:0044283;GO:0046394;GO:0046483;GO:0052803;GO:0071704;GO:1901360;GO:1901362;GO:1901564;GO:1901566;GO:1901576;GO:1901605;GO:1901607				
Ga0573226_01_248109_248783					
Ga0573226_01_248951_249703					
Ga0573226_01_249961_250686					
Ga0573226_01_250945_251712					
Ga0573226_01_251902_253257					
Ga0573226_01_253279_254616	GO:0003674;GO:0003824;GO:0006066;GO:0006082;GO:0008150;GO:0008152;GO:0009056;GO:0009441;GO:0009987;GO:0016054;GO:0016491;GO:0016614;GO:0017144;GO:0019154;GO:0019752;GO:0032787;GO:0034308;GO:0034310;GO:0042737;GO:0043436;GO:0044237;GO:0044248;GO:0044281;GO:0044282;GO:0046164;GO:0046296;GO:0046395;GO:0055114;GO:0071704;GO:0072329;GO:1901575;GO:1901615;GO:1901616				
Ga0573226_01_254897_255256					
Ga0573226_01_255303_256493					
Ga0573226_01_256503_257999					
Ga0573226_01_258155_259099					
Ga0573226_01_259237_259632	GO:0005575;GO:0005623;GO:0042597;GO:0044464				
Ga0573226_01_259711_261009					
Ga0573226_01_261205_261981					
Ga0573226_01_262000_263136					
Ga0573226_01_263102_263926					
Ga0573226_01_264053_265030					
Ga0573226_01_265298_265996					
Ga0573226_01_266152_267069					
Ga0573226_01_267125_268015					
Ga0573226_01_268181_269056					
Ga0573226_01_269322_269633					
Ga0573226_01_269769_270536					
Ga0573226_01_270688_272061					
Ga0573226_01_272292_274043					
Ga0573226_01_274048_274806					
Ga0573226_01_275013_276578					
Ga0573226_01_276745_277338					
Ga0573226_01_277466_278836					
Ga0573226_01_278833_279477					
Ga0573226_01_279563_280579					
Ga0573226_01_280833_282230					
Ga0573226_01_282227_284092					
Ga0573226_01_284158_284991					
Ga0573226_01_285109_287838					
Ga0573226_01_287952_289616					
Ga0573226_01_289995_290375					
Ga0573226_01_290502_292049					
Ga0573226_01_292044_292364					
Ga0573226_01_292373_293074					
Ga0573226_01_293212_294039					
Ga0573226_01_294219_294785					
Ga0573226_01_294915_295619					
Ga0573226_01_295837_296130					
Ga0573226_01_296157_296645					
Ga0573226_01_297020_297535					
Ga0573226_01_297898_298284					
Ga0573226_01_298545_303005					
Ga0573226_01_303005_303709					
Ga0573226_01_303980_305020					
Ga0573226_01_305137_306822					
Ga0573226_01_306925_308751					
Ga0573226_01_308891_309520					
Ga0573226_01_309534_310229					
Ga0573226_01_310531_310776					
Ga0573226_01_310817_311989					
Ga0573226_01_311986_313140					
Ga0573226_01_313279_314103	GO:0005575;GO:0005623;GO:0005886;GO:0006810;GO:0006811;GO:0006812;GO:0008150;GO:0015695;GO:0015696;GO:0015846;GO:0015847;GO:0016020;GO:0016021;GO:0031224;GO:0032991;GO:0043190;GO:0044425;GO:0044459;GO:0044464;GO:0051179;GO:0051234;GO:0071702;GO:0071705;GO:0071944;GO:0098533;GO:0098796;GO:0098797;GO:1902494;GO:1902495;GO:1904949;GO:1990351				
Ga0573226_01_314100_315029	GO:0005575;GO:0005623;GO:0005886;GO:0005887;GO:0006810;GO:0006811;GO:0006812;GO:0008150;GO:0015695;GO:0015696;GO:0015846;GO:0015847;GO:0016020;GO:0016021;GO:0031224;GO:0031226;GO:0032991;GO:0043190;GO:0044425;GO:0044459;GO:0044464;GO:0051179;GO:0051234;GO:0071702;GO:0071705;GO:0071944;GO:0098533;GO:0098796;GO:0098797;GO:1902494;GO:1902495;GO:1904949;GO:1990351				
Ga0573226_01_315038_316156	GO:0005575;GO:0005623;GO:0005886;GO:0006810;GO:0006811;GO:0006812;GO:0008150;GO:0015695;GO:0015696;GO:0015846;GO:0015847;GO:0016020;GO:0016021;GO:0031224;GO:0032991;GO:0043190;GO:0044425;GO:0044459;GO:0044464;GO:0051179;GO:0051234;GO:0071702;GO:0071705;GO:0071944;GO:0098533;GO:0098796;GO:0098797;GO:1902494;GO:1902495;GO:1904949;GO:1990351				
Ga0573226_01_316270_317364	GO:0003674;GO:0005488;GO:0005575;GO:0005623;GO:0006810;GO:0006811;GO:0006812;GO:0008150;GO:0015695;GO:0015696;GO:0015846;GO:0015847;GO:0019808;GO:0019810;GO:0030288;GO:0030313;GO:0031975;GO:0042597;GO:0043167;GO:0043169;GO:0044464;GO:0051179;GO:0051234;GO:0070405;GO:0071702;GO:0071705				
Ga0573226_01_317517_318905	GO:0003674;GO:0003824;GO:0006576;GO:0006595;GO:0006598;GO:0006807;GO:0008150;GO:0008152;GO:0009056;GO:0009308;GO:0009310;GO:0009445;GO:0009447;GO:0009987;GO:0016874;GO:0016879;GO:0016880;GO:0034024;GO:0034641;GO:0042402;GO:0044106;GO:0044237;GO:0071704;GO:0097164;GO:1901564;GO:1901565;GO:1901575				
Ga0573226_01_319075_319779					
Ga0573226_01_319900_321306					
Ga0573226_01_321339_322733					
Ga0573226_01_322924_323907					
Ga0573226_01_324051_324443					
Ga0573226_01_324412_325668					
Ga0573226_01_325787_326167					
Ga0573226_01_326234_326632					
Ga0573226_01_327483_329720					
Ga0573226_01_329717_331258					
Ga0573226_01_331303_331836					
Ga0573226_01_331871_332632					
Ga0573226_01_332619_334277					
Ga0573226_01_334350_334649					
Ga0573226_01_334670_336133					
Ga0573226_01_337010_338116					
Ga0573226_01_340107_341273					
Ga0573226_01_341833_343503					
Ga0573226_01_343866_344654					
Ga0573226_01_345079_346272					
Ga0573226_01_346435_347649					
Ga0573226_01_347651_348112					
Ga0573226_01_348220_348561					
Ga0573226_01_348685_349398					
Ga0573226_01_349746_349958					
Ga0573226_01_350189_351232	GO:0000166;GO:0003674;GO:0004888;GO:0005034;GO:0005215;GO:0005275;GO:0005488;GO:0005524;GO:0005575;GO:0005623;GO:0005886;GO:0006810;GO:0006811;GO:0006812;GO:0006950;GO:0006970;GO:0006972;GO:0007154;GO:0007165;GO:0008144;GO:0008150;GO:0009628;GO:0009987;GO:0015695;GO:0015696;GO:0015697;GO:0015837;GO:0015838;GO:0016020;GO:0016021;GO:0017076;GO:0022857;GO:0023052;GO:0030554;GO:0031224;GO:0031460;GO:0032553;GO:0032555;GO:0032559;GO:0032991;GO:0035639;GO:0036094;GO:0038023;GO:0043167;GO:0043168;GO:0043190;GO:0044425;GO:0044459;GO:0044464;GO:0050789;GO:0050794;GO:0050896;GO:0051179;GO:0051234;GO:0051716;GO:0055085;GO:0060089;GO:0065007;GO:0071702;GO:0071705;GO:0071944;GO:0072337;GO:0097159;GO:0097367;GO:0098533;GO:0098796;GO:0098797;GO:1901265;GO:1901363;GO:1902494;GO:1902495;GO:1904949;GO:1990351				
Ga0573226_01_351229_352071	GO:0003674;GO:0005215;GO:0005575;GO:0005623;GO:0005886;GO:0006810;GO:0006811;GO:0006812;GO:0006836;GO:0008150;GO:0015695;GO:0015696;GO:0015871;GO:0016020;GO:0044464;GO:0051179;GO:0051234;GO:0071702;GO:0071705;GO:0071944				
Ga0573226_01_352154_353098					
Ga0573226_01_353327_353929					
Ga0573226_01_353948_355606					
Ga0573226_01_355655_357118					
Ga0573226_01_357370_358653					
Ga0573226_01_358814_359158					
Ga0573226_01_359853_360317					
Ga0573226_01_360420_362033					
Ga0573226_01_362074_363138					
Ga0573226_01_363237_364415	GO:0005575;GO:0005622;GO:0005623;GO:0005737;GO:0005829;GO:0044424;GO:0044444;GO:0044464				
Ga0573226_01_364609_365814					
Ga0573226_01_365909_366871					
Ga0573226_01_366886_367758					
Ga0573226_01_367764_368471					
Ga0573226_01_368468_369238					
Ga0573226_01_369834_371912					
Ga0573226_01_371905_373125					
Ga0573226_01_373258_374769					
Ga0573226_01_375179_376888					
Ga0573226_01_376906_378501					
Ga0573226_01_378511_379128					
Ga0573226_01_381182_382267					
Ga0573226_01_382264_383616					
Ga0573226_01_383971_385839					
Ga0573226_01_385878_386843					
Ga0573226_01_386860_388398					
Ga0573226_01_389013_389222					
Ga0573226_01_389598_390659					
Ga0573226_01_390796_391098					
Ga0573226_01_391922_392971					
Ga0573226_01_393567_395126					
Ga0573226_01_395927_396472					
Ga0573226_01_396655_397749					
Ga0573226_01_397733_399103					
Ga0573226_01_399147_399818					
Ga0573226_01_400042_401016					
Ga0573226_01_401091_401531					
Ga0573226_01_401539_403086					
Ga0573226_01_403555_404346					
Ga0573226_01_404481_405992					
Ga0573226_01_406065_406982					
Ga0573226_01_406984_407883					
Ga0573226_01_407880_408866					
Ga0573226_01_408866_409882					
Ga0573226_01_409879_411456					
Ga0573226_01_411458_412843					
Ga0573226_01_412875_414113					
Ga0573226_01_414110_415588					
Ga0573226_01_416273_417328					
Ga0573226_01_417691_419163					
Ga0573226_01_419227_420657					
Ga0573226_01_420688_421500					
Ga0573226_01_422030_422431					
Ga0573226_01_422438_424258	GO:0002790;GO:0003674;GO:0005215;GO:0005575;GO:0005623;GO:0005886;GO:0005887;GO:0006810;GO:0008104;GO:0008150;GO:0008565;GO:0009306;GO:0009987;GO:0015031;GO:0015833;GO:0016020;GO:0016021;GO:0031224;GO:0031226;GO:0032940;GO:0033036;GO:0042886;GO:0044425;GO:0044459;GO:0044464;GO:0045184;GO:0046903;GO:0051179;GO:0051234;GO:0071702;GO:0071705;GO:0071944				
Ga0573226_01_424315_425250					
Ga0573226_01_425579_426256					
Ga0573226_01_426266_426913					
Ga0573226_01_427010_427897	GO:0003674;GO:0003824;GO:0003991;GO:0005488;GO:0006082;GO:0006520;GO:0006525;GO:0006526;GO:0006793;GO:0006796;GO:0006807;GO:0008150;GO:0008152;GO:0008652;GO:0009058;GO:0009064;GO:0009084;GO:0009987;GO:0016053;GO:0016301;GO:0016310;GO:0016597;GO:0016740;GO:0016772;GO:0016774;GO:0019752;GO:0031406;GO:0034618;GO:0036094;GO:0043167;GO:0043168;GO:0043169;GO:0043177;GO:0043436;GO:0044237;GO:0044238;GO:0044249;GO:0044281;GO:0044283;GO:0046394;GO:0071704;GO:1901564;GO:1901566;GO:1901576;GO:1901605;GO:1901607				
Ga0573226_01_427894_428637					
Ga0573226_01_428894_429757					
Ga0573226_01_430145_430525					
Ga0573226_01_430583_432076					
Ga0573226_01_432069_432728					
Ga0573226_01_432827_433483					
Ga0573226_01_433674_434441					
Ga0573226_01_434965_435318					
Ga0573226_01_435353_438028					
Ga0573226_01_438174_439094					
Ga0573226_01_439331_440182					
Ga0573226_01_440241_440834					
Ga0573226_01_440831_442003					
Ga0573226_01_442049_442474					
Ga0573226_01_442700_444934					
Ga0573226_01_445096_445926					
Ga0573226_01_446094_446930					
Ga0573226_01_446955_447776	GO:0001522;GO:0003674;GO:0003824;GO:0006139;GO:0006396;GO:0006399;GO:0006400;GO:0006725;GO:0006807;GO:0008033;GO:0008150;GO:0008152;GO:0009451;GO:0009982;GO:0009987;GO:0010467;GO:0016070;GO:0016853;GO:0016866;GO:0031119;GO:0034470;GO:0034641;GO:0034660;GO:0043170;GO:0043412;GO:0044237;GO:0044238;GO:0046483;GO:0071704;GO:0090304;GO:1901360				
Ga0573226_01_447776_448312					
Ga0573226_01_448335_449273	GO:0003674;GO:0003824;GO:0004479;GO:0006139;GO:0006396;GO:0006399;GO:0006400;GO:0006412;GO:0006413;GO:0006464;GO:0006518;GO:0006725;GO:0006807;GO:0008033;GO:0008150;GO:0008152;GO:0009058;GO:0009059;GO:0009451;GO:0009987;GO:0010467;GO:0016070;GO:0016740;GO:0016741;GO:0016742;GO:0019538;GO:0019988;GO:0034470;GO:0034641;GO:0034645;GO:0034660;GO:0036211;GO:0043043;GO:0043170;GO:0043412;GO:0043603;GO:0043604;GO:0044237;GO:0044238;GO:0044249;GO:0044260;GO:0044267;GO:0044271;GO:0046483;GO:0071704;GO:0071951;GO:0090304;GO:0140098;GO:0140101;GO:1901360;GO:1901564;GO:1901566;GO:1901576				
Ga0573226_01_449510_450142					
Ga0573226_01_450180_450698	GO:0003674;GO:0003824;GO:0006464;GO:0006807;GO:0008150;GO:0008152;GO:0009987;GO:0016787;GO:0016810;GO:0016811;GO:0018193;GO:0018206;GO:0019538;GO:0031365;GO:0036211;GO:0042586;GO:0043170;GO:0043412;GO:0043686;GO:0044237;GO:0044238;GO:0044260;GO:0044267;GO:0071704;GO:1901564				
Ga0573226_01_450788_452008					
Ga0573226_01_452120_452986					
Ga0573226_01_453015_453365					
Ga0573226_01_453426_454820					
Ga0573226_01_455039_455812					
Ga0573226_01_456320_456928					
Ga0573226_01_457019_457918					
Ga0573226_01_459628_460527					
Ga0573226_01_460709_461719					
Ga0573226_01_461722_462396					
